Date,Portfolio Value,Reference Values
2014-10-10,2471665.542947491,1527381.7138848205
2014-10-17,2511168.942356853,1524761.1579968235
2014-10-24,2654691.741242597,1590321.482367993
2014-10-31,2770003.533654876,1634850.298165612
2014-11-07,2785330.0361860595,1647911.809008936
2014-11-14,2846071.713456798,1649562.5528753905
2014-11-21,2885708.2578189964,1674179.270783898
2014-11-28,2945898.6754986993,1674855.0440542279
2014-12-05,2955703.6301253294,1680199.3273218754
2014-12-12,2857890.462021211,1622841.136537153
2014-12-19,2922042.3182214326,1683392.4849885493
2014-12-26,2986118.5187183,1698584.4871345162
2015-01-02,2958893.0175239625,1676835.936693974
2015-01-09,2948483.2135939505,1660189.2165156938
2015-01-16,2868027.218655577,1638677.9605059547
2015-01-23,2973443.7010189286,1663918.8659389655
2015-01-30,2906838.3359262953,1628030.662567321
2015-02-06,2961809.353684916,1681329.0551554812
2015-02-13,2997934.0642184597,1714694.715556199
2015-02-20,3052183.2339951335,1727828.4464436804
2015-02-27,3024549.8000784623,1717965.2518416129
2015-03-06,2949410.447367624,1687524.5032292695
2015-03-13,2949165.5790001345,1675654.6231145426
2015-03-20,3048254.883031869,1723933.7226337637
2015-03-27,2987303.3288868805,1690521.6350618014
2015-04-03,2997645.7428579815,1702262.550811961
2015-04-10,3042636.6119638006,1725470.9778593993
2015-04-17,3009322.633866566,1709902.399768897
2015-04-24,3083023.525674354,1729726.8018901031
2015-05-01,3073850.8887063027,1722726.616181418
2015-05-08,3053670.500785341,1725357.4892185805
2015-05-15,3060207.542727399,1730160.1221550475
2015-05-22,3071767.8113782723,1734101.2731362085
2015-05-29,3036675.401377548,1714287.1881641678
2015-06-05,3007582.1690155487,1703954.5632750774
2015-06-12,3001263.2034871615,1702804.2011431416
2015-06-19,3019050.0423367186,1715994.676351032
2015-06-26,3034827.2871274794,1705146.1940036744
2015-07-03,2969165.184668775,1683438.9121597935
2015-07-10,2974203.4593599006,1680266.3887914508
2015-07-17,2979105.844213575,1698661.8657532567
2015-07-24,2867036.8395694727,1662562.1608237228
2015-07-31,2954280.278271347,1687663.7847430017
2015-08-07,2922718.72794482,1670475.4142335407
2015-08-14,2990589.415341369,1686116.2123682
2015-08-21,2835398.6502894494,1597264.9237562693
2015-08-28,2868688.465856229,1604935.7241607013
2015-09-04,2803359.6129128425,1554526.1333388372
2015-09-11,2832410.3410036303,1583610.1768359381
2015-09-18,2841902.251404533,1581969.7501186484
2015-09-25,2755797.734184893,1551910.7360254226
2015-10-02,2772849.521875259,1564461.5479850618
2015-10-09,2905725.3969292594,1626550.1516620936
2015-10-16,2901860.3854668573,1628484.6171305955
2015-10-23,2882403.5513554364,1647189.608567362
2015-10-30,2860636.5010883356,1649051.853991706
2015-11-06,2899362.6024238863,1662185.584879187
2015-11-13,2739332.896363167,1598415.2858882041
2015-11-20,2814538.0162938014,1648107.834843077
2015-11-27,2838421.7707465463,1654184.6357014638
